BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
2780	4121715	2780	Technic, Pin with Friction Ridges Lengthwise WITH Center Slots	11	0	Black	Solid Colors	26	0.16
32278	4542578	32278	Technic, Liftarm 1 x 15 Thick	1	15	White	Solid Colors	3	4.0
32316		32316	Technic, Liftarm 1 x 5 Thick	9	7	Light Gray	Solid Colors	2	1.21
32523	4509376	32523	Technic, Liftarm 1 x 3 Thick	7	1	Blue	Solid Colors	4	0.7
32523	4153718	32523	Technic, Liftarm 1 x 3 Thick	5	4	Red	Solid Colors	4	0.7
32524	4143020	32524	Technic, Liftarm 1 x 7 Thick	9	7	Light Gray	Solid Colors	2	1.74
32525		32525	Technic, Liftarm 1 x 11 Thick	9	7	Light Gray	Solid Colors	1	2.8
32526	4154958	32526	Technic, Liftarm 3 x 5 L-Shape Thick	9	7	Light Gray	Solid Colors	2	1.77
3648		3648	Technic, Gear 24 Tooth (New Style with Single Axle Hole)	10	8	Dark Gray	Solid Colors	1	1.17
3704		3704	Technic, Axle 2	5	4	Red	Solid Colors	1	0.27
3706	370626	3706	Technic, Axle 6	11	0	Black	Solid Colors	1	0.94
3713	4125313	3713	Technic Bush	9	7	Light Gray	Solid Colors	1	0.14
40490	4195406	40490	Technic, Liftarm 1 x 9 Thick	9	7	Light Gray	Solid Colors	2	2.59
x346	4173941	x346	Bionicle 1 x 3 Tooth with Axle Hole	1	15	White	Solid Colors	1	0.54
42003	4175439	42003	Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes	10	8	Dark Gray	Solid Colors	1	0.77
43093	4309323	43093	Technic, Axle Pin with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	1	0.26
4519		4519	Technic, Axle 3	1	15	White	Solid Colors	1	0.43
48989		48989	Technic, Pin Connector Perpendicular 3L with 4 Pins	9	7	Light Gray	Solid Colors	2	1.22
6558	4514553	6558	Technic, Pin 3L with Friction Ridges Lengthwise	7	1	Blue	Solid Colors	16	0.31
87082		87082	Technic, Pin 3L with Friction Ridges Lengthwise and Center Pin Hole	9	7	Light Gray	Solid Colors	2	0.5
95646c01		95646c01	Mindstorms EV3 - Complete Brick	1	15	White	Solid Colors	1	180
99009		99009	Technic Turntable Small Bottom	9	7	Light Gray	Solid Colors	1	1.29
99010	4652236	99010	Technic Turntable Small Top	11	0	Black	Solid Colors	1	2.34
99455		99455	Electric, Motor - EV3, Medium	1	15	White	Solid Colors	2	38.3
									
Total qty	Total Weight								
79	312.33								
